marital-status_Married-civ-spouse,education-num,capital-gain,native-country_United-States,occupation_Exec-managerial,capital-loss,workclass_unknown,hours-per-week,workclass_Self-emp-not-inc,workclass_Private,age,native-country_Mexico,native-country_unknown,workclass_Local-gov,education_HS-grad,occupation_Prof-specialty,workclass_State-gov,native-country_South,occupation_Farming-fishing,education_Assoc-acdm,sex_1
0,13,2174,1,0,0,0,40,0,0,39,0,0,0,0,0,1,0,0,0,1
1,13,0,1,1,0,0,13,1,0,50,0,0,0,0,0,0,0,0,0,1
0,9,0,1,0,0,0,40,0,1,38,0,0,0,1,0,0,0,0,0,1
1,7,0,1,0,0,0,40,0,1,53,0,0,0,0,0,0,0,0,0,1
1,13,0,0,0,0,0,40,0,1,28,0,0,0,0,1,0,0,0,0,0
1,14,0,1,1,0,0,40,0,1,37,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,16,0,1,49,0,0,0,0,0,0,0,0,0,0
1,9,0,1,1,0,0,45,1,0,52,0,0,0,1,0,0,0,0,0,1
0,14,14084,1,0,0,0,50,0,1,31,0,0,0,0,1,0,0,0,0,0
1,13,5178,1,1,0,0,40,0,1,42,0,0,0,0,0,0,0,0,0,1
1,10,0,1,1,0,0,80,0,1,37,0,0,0,0,0,0,0,0,0,1
1,13,0,0,0,0,0,40,0,0,30,0,0,0,0,1,1,0,0,0,1
0,13,0,1,0,0,0,30,0,1,23,0,0,0,0,0,0,0,0,0,0
0,12,0,1,0,0,0,50,0,1,32,0,0,0,0,0,0,0,0,1,1
1,11,0,0,0,0,0,40,0,1,40,0,1,0,0,0,0,0,0,0,1
1,4,0,0,0,0,0,45,0,1,34,1,0,0,0,0,0,0,0,0,1
0,9,0,1,0,0,0,35,1,0,25,0,0,0,1,0,0,0,1,0,1
0,9,0,1,0,0,0,40,0,1,32,0,0,0,1,0,0,0,0,0,1
1,7,0,1,0,0,0,50,0,1,38,0,0,0,0,0,0,0,0,0,1
0,14,0,1,1,0,0,45,1,0,43,0,0,0,0,0,0,0,0,0,0
1,16,0,1,0,0,0,60,0,1,40,0,0,0,0,1,0,0,0,0,1
0,9,0,1,0,0,0,20,0,1,54,0,0,0,1,0,0,0,0,0,0
1,5,0,1,0,0,0,40,0,0,35,0,0,0,0,0,0,0,1,0,1
1,7,0,1,0,2042,0,40,0,1,43,0,0,0,0,0,0,0,0,0,1
0,9,0,1,0,0,0,40,0,1,59,0,0,0,1,0,0,0,0,0,0
1,13,0,1,0,0,0,40,0,0,56,0,0,1,0,0,0,0,0,0,1
0,9,0,1,0,0,0,40,0,1,19,0,0,0,1,0,0,0,0,0,1
1,10,0,0,0,0,1,60,0,0,54,0,0,0,0,0,0,1,0,0,1
0,9,0,1,1,0,0,80,0,1,39,0,0,0,1,0,0,0,0,0,1
1,9,0,1,0,0,0,40,0,1,49,0,0,0,1,0,0,0,0,0,1
0,12,0,1,0,0,0,52,0,0,23,0,0,1,0,0,0,0,0,1,1
0,10,0,1,0,0,0,44,0,1,20,0,0,0,0,0,0,0,0,0,1
0,13,0,1,1,1408,0,40,0,1,45,0,0,0,0,0,0,0,0,0,1
1,10,0,1,0,0,0,40,0,0,30,0,0,0,0,0,0,0,0,0,1
1,10,0,1,0,0,0,15,0,0,22,0,0,0,0,0,1,0,0,0,1
0,7,0,0,0,0,0,40,0,1,48,0,0,0,0,0,0,0,0,0,1
0,10,0,1,0,0,0,40,0,1,21,0,0,0,0,0,0,0,0,0,1
0,9,0,1,0,0,0,25,0,1,19,0,0,0,1,0,0,0,0,0,0
1,10,0,0,0,0,0,38,0,1,31,0,1,0,0,0,0,0,0,0,1
1,12,0,1,0,0,0,40,1,0,48,0,0,0,0,1,0,0,0,1,1
1,5,0,1,0,0,0,43,0,1,31,0,0,0,0,0,0,0,0,0,1
1,13,0,1,0,0,0,40,1,0,53,0,0,0,0,1,0,0,0,0,1
1,13,0,1,0,0,0,50,0,1,24,0,0,0,0,0,0,0,0,0,1
0,9,0,1,0,0,0,40,0,1,49,0,0,0,1,0,0,0,0,0,0
0,9,0,1,0,0,0,35,0,1,25,0,0,0,1,0,0,0,0,0,1
1,13,0,1,0,0,0,40,0,0,57,0,0,0,0,1,0,0,0,0,1
1,9,0,1,0,0,0,38,0,1,53,0,0,0,1,0,0,0,0,0,1
0,14,0,1,1,0,0,40,0,1,44,0,0,0,0,0,0,0,0,0,0
